3.13,0.050585,0.83954,-0.44066
3.14,0.11658,0.83501,-0.38057
3.15,0.18058,0.83069,-0.3174
3.16,0.24162,0.8268,-0.25176
3.17,0.29878,0.82348,-0.18429
3.18,0.3512,0.82089,-0.11562
3.19,0.39807,0.81914,-0.046389
3.2,0.43868,0.81829,0.022762
3.21,0.47238,0.81839,0.091223
3.22,0.49861,0.81943,0.1584
3.23,0.51693,0.82139,0.22375
3.24,0.527,0.8242,0.28675
3.25,0.52856,0.82773,0.34694
3.26,0.52151,0.83185,0.4039
3.27,0.50582,0.83637,0.45727
3.28,0.4816,0.84108,0.50678
3.29,0.44906,0.84574,0.55217
3.3,0.40854,0.85008,0.5933
3.31,0.36045,0.85381,0.63007
3.32,0.30533,0.85664,0.66243
3.33,0.2438,0.85823,0.69043
3.34,0.17657,0.85826,0.71414
3.35,0.10443,0.8564,0.73373
3.36,0.028218,0.85233,0.74939
3.37,-0.051153,0.84574,0.76137
3.38,-0.13273,0.83631,0.76995
3.39,-0.21554,0.82377,0.77547
3.4,-0.29857,0.80786,0.77827
3.41,-0.38082,0.78834,0.77872
3.42,-0.46127,0.76503,0.7772
3.43,-0.53894,0.73777,0.7741
3.44,-0.61288,0.70643,0.76981
3.45,-0.68216,0.67097,0.76469
3.46,-0.74592,0.63134,0.75911
3.47,-0.80336,0.58758,0.75339
3.48,-0.85375,0.53977,0.74783
3.49,-0.89645,0.48804,0.7427
3.5,-0.93089,0.43257,0.73822
3.51,-0.95661,0.37359,0.73456
3.52,-0.97325,0.31138,0.73187
3.53,-0.98056,0.24627,0.73021
3.54,-0.97838,0.17864,0.72961
3.55,-0.96668,0.10889,0.73006
3.56,-0.94552,0.037464,0.73147
3.57,-0.91509,-0.035152,0.73373
3.58,-0.87566,-0.10846,0.73667
3.59,-0.82763,-0.18192,0.74006
3.6,-0.77147,-0.25502,0.74367
3.61,-0.70776,-0.32719,0.74721
3.62,-0.63715,-0.39789,0.75036
3.63,-0.56038,-0.46657,0.75278
3.64,-0.47825,-0.53272,0.75415
3.65,-0.39161,-0.5958,0.75408
3.66,-0.30136,-0.65533,0.75223
3.67,-0.20845,-0.71084,0.74825
3.68,-0.11383,-0.76192,0.7418
3.69,-0.018482,-0.80818,0.73256
3.7,0.076612,-0.84928,0.72024
3.71,0.17048,-0.88493,0.70459
3.72,0.26218,-0.9149,0.6854
3.73,0.35078,-0.93901,0.66249
3.74,0.4354,-0.95713,0.63575
3.75,0.51522,-0.96921,0.6051
3.76,0.58945,-0.97524,0.57053
3.77,0.6574,-0.97529,0.53209
3.78,0.71842,-0.96948,0.48988
3.79,0.77196,-0.95799,0.44406
3.8,0.81756,-0.94106,0.39486
3.81,0.85483,-0.91896,0.34253
3.82,0.88348,-0.89206,0.28742
3.83,0.9033,-0.86072,0.22988
3.84,0.9142,-0.82537,0.17035
3.85,0.91617,-0.78649,0.10926
3.86,0.90927,-0.74455,0.04711
3.87,0.89368,-0.70008,-0.015595
3.88,0.86965,-0.65361,-0.078329
3.89,0.83752,-0.60569,-0.14055
3.9,0.79767,-0.55686,-0.20173
3.91,0.7506,-0.50769,-0.26133
3.92,0.69684,-0.45871,-0.31884
3.93,0.63698,-0.41045,-0.37376
3.94,0.57165,-0.36342,-0.42562
